clae6,letra,clae6_desc,letra_desc
14930,A,"Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas (Incluye cría de visón, nutria, chinchilla, reptiles, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14114,A,Invernada  de ganado bovino excepto el engorde en corrales (Feed-Lot),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16113,A,"Servicios de pulverización, desinfección y fumigación aérea ","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14920,A,Cunicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12800,A,Cultivo de especias y de plantas aromáticas y medicinales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11130,A,Cultivo de pastos de uso forrajero,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14620,A,Producción de leche de oveja y de cabra,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11912,A,Cultivo de plantas ornamentales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16150,A,Servicios de procesamiento de semillas para su siembra (Incluye la selección de semillas),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11990,A,Cultivos temporales ncp,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12311,A,Cultivo de manzana y pera,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12510,A,Cultivo de caña de azúcar,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16130,A,"Servicios de contratistas de mano de obra agrícola (Incluye la poda de árboles, transplante, cosecha manual de citrus, algodón, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11341,A,"Cultivo de legumbres frescas (Incluye arveja, chaucha, haba, lupino, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12320,A,"Cultivo de frutas de carozo (Incluye cereza, ciruela, damasco, durazno, pelón, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14810,A,"Cría de aves de corral, excepto para la producción de huevos","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11310,A,"Cultivo de papa, batata y mandioca","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16112,A,"Servicios de pulverización, desinfección y fumigación terrestre","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11111,A,Cultivo de arroz,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12410,A,"Cultivo de frutas tropicales y subtropicales (Incluye banana, ananá, mamón, palta, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11321,A,Cultivo de tomate,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11112,A,Cultivo de trigo,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16190,A,"Servicios de apoyo agrícolas n.c.p (Incluye  explotación de sistemas de riego, injertos de plantas, construcción y plantación de almácigos, alquiler de colmenas, etc.), (No incluye mantenimiento de jardines, parques y cementerios: actividad 813000, planificación y diseño paisajista: actividad 711009)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16119,A,"Servicios de maquinaria agrícola n.c.p., excepto los de cosecha mecánica (Incluye clasificado y/o tamañado, rastrillado, roturación de terreno, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11119,A,"Cultivo de cereales n.c.p., excepto los de uso forrajero (Incluye alforfón, cebada cervecera, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11291,A,Cultivo de girasol,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
17020,A,Servicios de apoyo para la caza,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
13012,A,"Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras ","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14710,A,Producción de lana y pelo de oveja y cabra (cruda),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16230,A,Servicios de esquila de animales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
13013,A,"Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árboles frutales ","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14610,A,Producción de leche bovina (Incluye la cría para la producción de leche de vaca y la producción de leche bubalina),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11129,A,Cultivo de cereales de uso forrajero n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14115,A,Engorde en corrales (Feed-Lot),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16120,A,"Servicios de cosecha mecánica (Incluye la cosecha mecánica de granos, caña de azúcar, algodón, forrajes, el enfardado, enrollado, etc.) ","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12490,A,"Cultivo de frutas n.c.p. (Incluye kiwi, arándanos, mora, grosella, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14430,A,Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche-,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14910,A,"Apicultura (Incluye la producción de miel, jalea real, polen, propóleo, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16292,A,Albergue y cuidado de  animales de terceros,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16140,A,"Servicios de post cosecha (Incluye servicios de lavado de papas,  acondicionamiento, limpieza, etc, de granos antes de ir a los mercados primarios), (Excluye los servicios de procesamiento de semillas para su siembra)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16299,A,Servicios de apoyo pecuarios n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12420,A,"Cultivo de frutas secas (Incluye almendra, avellana, castaña, nuez, pistacho, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14820,A,Producción de huevos,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16220,A,"Servicios de contratistas de mano de obra pecuaria (Incluye arreo, castración de aves, pasturaje,  etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14113,A,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche (Incluye: ganado bubalino)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11509,A,"Cultivo de plantas para la obtención de fibras n.c.p. (Incluye abacá, cáñamo, formio, lino textil, maíz de Guinea, ramio, yute, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16210,A,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14420,A,Cría de ganado ovino realizada en cabañas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12600,A,"Cultivo de frutos oleaginosos (Incluye el cultivo de olivo, coco, palma, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11299,A,"Cultivo de oleaginosas n.c.p. excepto soja y girasol (Incluye los cultivos de oleaginosas para aceites comestibles y/o uso industrial: cártamo, colza, jojoba, lino oleaginoso, maní, ricino, sésamo, tung, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12319,A,"Cultivo de frutas de pepita n.c.p. (Incluye membrillo, níspero, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11342,A,"Cultivo de legumbres secas (Incluye garbanzo, lenteja, poroto, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14300,A,"Cría de camélidos (Incluye alpaca, guanaco, llama, vicuña)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
13011,A,Producción de semillas híbridas de cereales y oleaginosas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11121,A,Cultivo de maíz,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11329,A,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p. (Incluye ají, ajo, alcaparra, berenjena, cebolla, calabaza, espárrago, frutilla, melón, pepino, pimiento, sandía, zanahoria, zapallo, zapallito, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11501,A,Cultivo de algodón,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
13019,A,Producción de semillas de cultivos agrícolas n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12900,A,Cultivos perennes n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11911,A,Cultivo de flores,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12200,A,"Cultivo de frutas cítricas (Incluye bergamota, lima, limón, mandarina, naranja, pomelo, kinoto, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
24020,A,"Servicios forestales excepto los servicios para la extracción de madera (Incluye protección contra incendios, evaluación de masas forestales en pie, estimación del valor de la madera, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
21020,A,Repoblación y conservación de bosques nativos y zonas forestadas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
22020,A,"Extracción de productos forestales de bosques nativos (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes, la extracción de rodrigones, varas, varillas y la recolección de  gomas naturales, líquenes, musgos, resinas y de rosa mosqueta,etc)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
22010,A,"Extracción de productos forestales de bosques cultivados (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
24010,A,"Servicios forestales para la extracción de madera (Incluye tala de árboles, acarreo y transporte en el interior del bosque, servicios realizados por terceros, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
21030,A,Explotación de viveros forestales (Incluye propagación de especies forestales),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
21010,A,Plantación de bosques,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
31130,A,"Recolección de organismos marinos excepto peces, crustáceos y moluscos (Incluye la recolección de algas marinas)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
31110,A,"Pesca de organismos marinos, excepto cuando es realizada en buques procesadores","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
31200,A,Pesca continental: fluvial y lacustre,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
32000,A,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos  (acuicultura)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
31300,A,Servicios de apoyo para la pesca,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
31120,A,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
52000,B,Extracción y aglomeración de lignito,EXPLOTACION DE MINAS Y CANTERAS
51000,B,"Extracción y aglomeración de carbón (Incluye la producción de hulla no aglomerada, antracita, carbón bituminoso no aglomerado, ovoides y combustibles sólidos análogos a base de hulla, etc.)",EXPLOTACION DE MINAS Y CANTERAS
62000,B,Extracción de gas natural (Incluye gas natural licuado y gaseoso),EXPLOTACION DE MINAS Y CANTERAS
61000,B,"Extracción de petróleo crudo (Incluye arenas alquitraníferas, esquistos bituminosos o lutitas, aceites de petróleo y de minerales bituminosos, petróleo, etc.)",EXPLOTACION DE MINAS Y CANTERAS
72100,B,Extracción de minerales y concentrados de uranio y torio,EXPLOTACION DE MINAS Y CANTERAS
71000,B,"Extracción de minerales de hierro (Incluye hematitas, limonitas, magnetitas, siderita, etc.)",EXPLOTACION DE MINAS Y CANTERAS
72910,B,Extracción de metales preciosos,EXPLOTACION DE MINAS Y CANTERAS
72990,B,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio (Incluye aluminio, cobre, estaño, manganeso, níquel, plomo, volframio, antimonio, bismuto, cinc, molibdeno, titanio, circonio, niobio, tántalo, vanadio, cromo, cobalto)",EXPLOTACION DE MINAS Y CANTERAS
81100,B,"Extracción de rocas ornamentales (Incluye areniscas, cuarcita, dolomita, granito, mármol, piedra laja, pizarra, serpentina, etc.)",EXPLOTACION DE MINAS Y CANTERAS
89200,B,Extracción y aglomeración de turba (Incluye la producción de turba utilizada como corrector de suelos),EXPLOTACION DE MINAS Y CANTERAS
89300,B,Extracción de sal,EXPLOTACION DE MINAS Y CANTERAS
89120,B,"Extracción de minerales para la fabricación de productos químicos (Incluye azufre, boracita e hidroboracita, calcita, celestina, colemanita, fluorita, litio y sales de litio naturales, sulfato de aluminio, sulfato de hierro, sulfato de magnesio, sulfato de sodio, ocres,  tinkal, ulexita, asfaltita, laterita, etc.)",EXPLOTACION DE MINAS Y CANTERAS
81300,B,"Extracción de arenas, canto rodado y triturados pétreos (Incluye arena para construcción, arena silícea, otras arenas naturales, canto rodado, dolomita triturada, salto triturado, piedra partida  y  otros triturados pétreos, etc.)",EXPLOTACION DE MINAS Y CANTERAS
89110,B,"Extracción de minerales para la fabricación de abonos excepto turba (Incluye guano, silvita, silvinita y otras sales de potasio naturales, etc.)",EXPLOTACION DE MINAS Y CANTERAS
89900,B,"Explotación de minas y canteras n.c.p. (Incluye amianto, cuarzo, diatomita, piedra pómez, ágata, agua marina, amatista, cristal de roca, rodocrosita, topacio, corindón, feldespato, mica, zeolita, perlita, granulado volcánico, puzolana, toba, talco, vermiculita, tosca, grafito, etc.)",EXPLOTACION DE MINAS Y CANTERAS
81200,B,"Extracción de piedra caliza y yeso (Incluye caliza, castina, conchilla, riolita, yeso natural, anhidrita, etc.)",EXPLOTACION DE MINAS Y CANTERAS
81400,B,"Extracción de arcilla y caolín (Incluye andalucita, arcillas, bentonita, caolín, pirofilita, silimanita, mullita, tierra de chamota o de dinas, etc.)",EXPLOTACION DE MINAS Y CANTERAS
91000,B,Servicios de apoyo para la extracción de petróleo y gas natural,EXPLOTACION DE MINAS Y CANTERAS
99000,B,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natual",EXPLOTACION DE MINAS Y CANTERAS
101020,C,Producción y procesamiento de carne de aves,INDUSTRIA MANUFACTURERA
105090,C,"Elaboración de productos lácteos n.c.p. (Incluye la producción de caseínas, manteca, postres, etc., cuando no son obtenidos e forma integrada con la producción de leche)",INDUSTRIA MANUFACTURERA
104012,C,Elaboración de aceite de oliva,INDUSTRIA MANUFACTURERA
104013,C,Elaboración de aceites y grasas vegetales refinados (No incluye aceite de oliva -actividad 104012-),INDUSTRIA MANUFACTURERA
106131,C,Elaboración de alimentos a base de cereales,INDUSTRIA MANUFACTURERA
102003,C,"Fabricación de aceites, grasas, harinas y productos a base de pescados ",INDUSTRIA MANUFACTURERA
107911,C,"Tostado, torrado y molienda de café",INDUSTRIA MANUFACTURERA
107301,C,Elaboración de cacao y chocolate,INDUSTRIA MANUFACTURERA
107129,C,"Elaboración de productos de panadería n.c.p. (Incluye la elaboración de pan, facturas, churros, pre-pizzas, masas de hojaldre, masas fritas, tortas, tartas, etc), (No incluye la fabricación de sándwich 561040)",INDUSTRIA MANUFACTURERA
101099,C,"Matanza de animales n.c.p. y procesamiento de su carne, elaboración de subproductos cárnicos n.c.p. (Incluye producción de carne fresca, refrigerada o congelada de liebre, conejo, animales de caza, etc.)",INDUSTRIA MANUFACTURERA
103091,C,"Elaboración de hortalizas y legumbres deshidratadas o desecadas, preparación n.c.p. de hortalizas y legumbres (Incluye la elaboración de harina y escamas de papa, sémola de hortalizas y legumbres,  hortalizas y legumbres deshidratadas, etc.)",INDUSTRIA MANUFACTURERA
107410,C,Elaboración de pastas alimentarias frescas,INDUSTRIA MANUFACTURERA
101030,C,Elaboración de fiambres y embutidos,INDUSTRIA MANUFACTURERA
104020,C,Elaboración de margarinas y grasas vegetales comestibles similares,INDUSTRIA MANUFACTURERA
107920,C,Preparación de hojas de té,INDUSTRIA MANUFACTURERA
107912,C,Elaboración y molienda de hierbas aromáticas y  especias,INDUSTRIA MANUFACTURERA
107121,C,"Elaboración industrial de productos de panadería, excepto galletitas y bizcochos (Incluye la elaboración de productos de panadería frescos, congelados y secos)",INDUSTRIA MANUFACTURERA
107500,C,"Elaboración de comidas preparadas para reventa (Incluye la elaboración de comidas preparadas para reventa en supermercados, kioscos, cafeterías, etc.)",INDUSTRIA MANUFACTURERA
107110,C,Elaboración de galletitas y bizcochos,INDUSTRIA MANUFACTURERA
107991,C,"Elaboración de extractos, jarabes y concentrados",INDUSTRIA MANUFACTURERA
103099,C,"Elaboración de frutas deshidratadas o desecadas, preparación n.c.p. de frutas",INDUSTRIA MANUFACTURERA
101011,C,Matanza de ganado bovino (Incluye búfalos),INDUSTRIA MANUFACTURERA
101012,C,Procesamiento de carne de ganado bovino,INDUSTRIA MANUFACTURERA
109000,C,Servicios industriales para la elaboración de alimentos y bebidas,INDUSTRIA MANUFACTURERA
107420,C,Elaboración de pastas alimentarias secas,INDUSTRIA MANUFACTURERA
108000,C,Elaboración de alimentos preparados para animales,INDUSTRIA MANUFACTURERA
103020,C,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres (No incluye la elaboración de jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50% actividad 110492)",INDUSTRIA MANUFACTURERA
101040,C,"Matanza de ganado excepto el bovino y procesamiento de su carne (Incluye ganado ovino, porcino, equino, etc.) ",INDUSTRIA MANUFACTURERA
102002,C,Elaboración de pescados de ríos y lagunas y otros productos fluviales y lacustres,INDUSTRIA MANUFACTURERA
107309,C,"Elaboración de productos de confitería n.c.p. (Incluye alfajores, caramelos, frutas confitadas, pastillas, gomas de mascar, etc.)",INDUSTRIA MANUFACTURERA
101013,C,Saladero y peladero de cueros de ganado bovino,INDUSTRIA MANUFACTURERA
106110,C,Molienda de trigo,INDUSTRIA MANUFACTURERA
107200,C,Elaboración de azúcar,INDUSTRIA MANUFACTURERA
104011,C,Elaboración de aceites y grasas vegetales  sin refinar,INDUSTRIA MANUFACTURERA
106120,C,Preparación de arroz,INDUSTRIA MANUFACTURERA
102001,C,"Elaboración de pescados de mar, crustáceos y  productos marinos ",INDUSTRIA MANUFACTURERA
107999,C,"Elaboración de productos alimenticios n.c.p. (Incluye la elaboración de polvos para preparar postres y gelatinas, levadura, productos para copetín, sopas, sal de mesa, mayonesa, mostaza, etc.)",INDUSTRIA MANUFACTURERA
107992,C,Elaboración de vinagres,INDUSTRIA MANUFACTURERA
106139,C,"Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmeda de maíz",INDUSTRIA MANUFACTURERA
101091,C,Fabricación de aceites y grasas de origen animal,INDUSTRIA MANUFACTURERA
103011,C,"Preparación de conservas de frutas, hortalizas y legumbres",INDUSTRIA MANUFACTURERA
106200,C,"Elaboración de almidones y productos derivados del almidón, molienda húmeda de maíz (Incluye la elaboración de glucosa y gluten)",INDUSTRIA MANUFACTURERA
105020,C,Elaboración de quesos (Incluye la producción de suero),INDUSTRIA MANUFACTURERA
105030,C,Elaboración industrial de helados,INDUSTRIA MANUFACTURERA
103012,C,"Elaboración y envasado de dulces, mermeladas y jaleas",INDUSTRIA MANUFACTURERA
107930,C,Elaboración de yerba mate,INDUSTRIA MANUFACTURERA
103030,C,"Elaboración de frutas, hortalizas y legumbres congeladas",INDUSTRIA MANUFACTURERA
105010,C,"Elaboración de leches y productos lácteos deshidratados (Incluye la obtención de quesos, helados, manteca, postres lácteos, yogur y otros productos lácteos fermentados o coagulados cuando son obtenidos en forma integrada con la producción de leche)",INDUSTRIA MANUFACTURERA
110300,C,"Elaboración de cerveza, bebidas malteadas y malta",INDUSTRIA MANUFACTURERA
110492,C,"Elaboración de bebidas no alcohólicas n.c.p. (Incluye los jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50%), (No incluye a los jugos naturales y sus concentrados, de frutas, hortalizas y legumbres - actividad 103020)",INDUSTRIA MANUFACTURERA
110412,C,Fabricación de sodas,INDUSTRIA MANUFACTURERA
110420,C,"Elaboración de bebidas gaseosas, excepto soda",INDUSTRIA MANUFACTURERA
110211,C,Elaboración de mosto,INDUSTRIA MANUFACTURERA
110212,C,Elaboración de vinos (Incluye el fraccionamiento),INDUSTRIA MANUFACTURERA
110100,C,"Destilación, rectificación y mezcla de bebidas espiritosas",INDUSTRIA MANUFACTURERA
110290,C,Elaboración de sidra y otras bebidas alcohólicas fermentadas,INDUSTRIA MANUFACTURERA
110491,C,Elaboración de hielo,INDUSTRIA MANUFACTURERA
110411,C,Embotellado de aguas naturales y minerales,INDUSTRIA MANUFACTURERA
120099,C,Elaboración de productos de tabaco n.c.p.,INDUSTRIA MANUFACTURERA
120091,C,Elaboración de cigarrillos,INDUSTRIA MANUFACTURERA
120010,C,Preparación de hojas de tabaco,INDUSTRIA MANUFACTURERA
139300,C,Fabricación de tapices y alfombras,INDUSTRIA MANUFACTURERA
131110,C,"Preparación de fibras textiles vegetales, desmotado de algodón (Incluye la preparación de fibras de yute, ramio, cáñamo y lino)",INDUSTRIA MANUFACTURERA
139204,C,Fabricación de bolsas de materiales textiles para productos a granel,INDUSTRIA MANUFACTURERA
139209,C,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir ",INDUSTRIA MANUFACTURERA
139203,C,Fabricación de artículos de lona y sucedáneos de lona,INDUSTRIA MANUFACTURERA
131202,C,"Fabricación de tejidos (telas) planos de algodón y sus mezclas, incluye hilanderías y tejedurías integradas",INDUSTRIA MANUFACTURERA
139201,C,"Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc.",INDUSTRIA MANUFACTURERA
131300,C,Acabado de productos textiles,INDUSTRIA MANUFACTURERA
131131,C,"Fabricación de hilados textiles de lana, pelos y sus mezclas",INDUSTRIA MANUFACTURERA
131120,C,Preparación de fibras animales de uso textil,INDUSTRIA MANUFACTURERA
131139,C,"Fabricación de hilados textiles n.c.p., excepto de lana  y de algodón",INDUSTRIA MANUFACTURERA
139202,C,Fabricación de ropa de cama y mantelería,INDUSTRIA MANUFACTURERA
139900,C,Fabricación de productos textiles n.c.p.,INDUSTRIA MANUFACTURERA
131201,C,"Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejedurías integradas",INDUSTRIA MANUFACTURERA
139100,C,Fabricación de tejidos de punto,INDUSTRIA MANUFACTURERA
139400,C,"Fabricación de cuerdas, cordeles, bramantes y redes",INDUSTRIA MANUFACTURERA
131209,C,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas",INDUSTRIA MANUFACTURERA
131132,C,Fabricación de hilados textiles de algodón y sus mezclas,INDUSTRIA MANUFACTURERA
143020,C,Fabricación de prendas de vestir y artículos similares de punto,INDUSTRIA MANUFACTURERA
141199,C,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",INDUSTRIA MANUFACTURERA
149000,C,"Servicios industriales para la industria confeccionista (Incluye procesos de planchado y acondicionamiento de prendas: teñido, gastado a la piedra (stone wash), impermeabilizado, lavaderos y secaderos industriales, etc.) ",INDUSTRIA MANUFACTURERA
141140,C,Confección de prendas deportivas,INDUSTRIA MANUFACTURERA
142000,C,"Terminación y teñido de pieles, fabricación de artículos de piel ",INDUSTRIA MANUFACTURERA
141201,C,Fabricación de accesorios de vestir de cuero,INDUSTRIA MANUFACTURERA
143010,C,Fabricación de medias,INDUSTRIA MANUFACTURERA
141110,C,"Confección de ropa interior, prendas para dormir y para la playa",INDUSTRIA MANUFACTURERA
